"p","la","one","fns","cs821","cs814","cs804","cs805","cp1","cp10","cp11","cp12","cp6","cp4","cp5","cp13","cg1","cg2","cg5","cg9","uc1","uc707","uc706","cd","uc702","cp14","cp9","cp3","cg3","cg4","cg8","cg11","cg12","cg13","cg10"
"512,app://www.raiplay.it/index.json,0,1080x2208,0,0,1676629922894,0,0,0","it","0","1","0","30","3.4.8","1903040801","no-refresh","app","android","raiplay","homepage","homepage","3.4.8;hero|rand|mare fuori 3|programmi/marefuori.json","raiplay","aggregato.mobile","raiplay","homepage","homepage","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2",,,,,,,,,,
"512,app://www.raiplay.it/programmi/marefuori.json,0,1080x2208,0,0,1676629928384,0,0,0","it",,,,,,,"no-refresh","app","android","raiplay",,"info programma",,"rai fiction","aggregato.mobile","raiplay","fiction","info programma","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction","info programma","2020-09-15","fiction","mare fuori","mare fuori","drammatico","crimini & misfatti","2020",
"512,app://www.raiplay.it/programmi/marefuori/contentset-3f093c3d-70e5-4f7a-acc7-09851ebc0473.json,0,1080x2208,0,0,1676629928707,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","mare fuori","mare fuori","drammatico","crimini & misfatti",,"sottosezione programma stagione 3"
"512,app://www.raiplay.it/programmi/marefuori/contentset-d02e53f3-2499-468a-a728-fa7f75ba43d5.json,0,1080x2208,0,0,1676629935023,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","mare fuori","mare fuori","drammatico","crimini & misfatti",,"sottosezione programma null"
"512,app://www.raiplay.it/programmi/marefuori/contentset-3f093c3d-70e5-4f7a-acc7-09851ebc0473.json,0,1080x2208,0,0,1676629936222,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","mare fuori","mare fuori","drammatico","crimini & misfatti",,"sottosezione programma stagione 3"
"512,app://www.raiplay.it/programmi/marefuori/contentset-d02e53f3-2499-468a-a728-fa7f75ba43d5.json,0,1080x2208,0,0,1676629953885,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","mare fuori","mare fuori","drammatico","crimini & misfatti",,"sottosezione programma null"
"512,app://www.raiplay.it/programmi/marefuori/contentset-3f093c3d-70e5-4f7a-acc7-09851ebc0473.json,0,1080x2208,0,0,1676629955403,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","mare fuori","mare fuori","drammatico","crimini & misfatti",,"sottosezione programma stagione 3"
"512,app://www.raiplay.it/programmi/sopravvissuti.json,0,1080x2208,0,0,1676629965730,0,0,0","it",,,,,,,"no-refresh","app","android","raiplay",,"info programma",,"rai fiction","aggregato.mobile","raiplay","fiction","info programma","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction","info programma","2022-09-23","fiction","sopravvissuti","sopravvissuti","giallo and crime","thriller","2022",
"512,app%3A%2F%Fwww.raiplay.it%2Fprogrammi%2Fsopravvissuti%2Fcontentset-1dcd659b-bb90-47ef-a767-96d3bb6b08dd.json,0,1080x2208,0,0,1676629966032,0,0,0","it",,,,,,,,,,,,,,"raiplay","aggregato.mobile","raiplay","scheda-programma-sottosezione","sezione programma episodi","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2","fiction",,,"fiction","sopravvissuti","sopravvissuti","giallo and crime","thriller",,"sottosezione programma episodi"
"512,app://www.raiplay.it/index.json,0,1080x2208,0,0,1676629971252,0,0,0","it",,,,,,,"no-refresh","app","android","raiplay","homepage","homepage","3.4.8;hero|rand|mare fuori 3|programmi/marefuori.json","raiplay","aggregato.mobile","raiplay","homepage","homepage","true","20071202","2","BVOwBHAB1mGuMvBFl8k66E4yw2auUa.qQD9plGZSgmB","2",,,,,,,,,,
